Table Name, Column Name, Column Type, Key, Indexed
Students6,id,java.lang.Integer,true,true
Students6,gpa,java.lang.Double,false,true
Students6,name,java.lang.String,false,true
Table Name, Column Name, Column Type, Key, Indexed
Table Name, Column Name, Column Type, Key, Indexed
Table Name, Column Name, Column Type, Key, Indexed
Table Name, Column Name, Column Type, Key, Indexed
Table Name, Column Name, Column Type, Key, Indexed
Table Name, Column Name, Column Type, Key, Indexed
Table Name, Column Name, Column Type, Key, Indexed
Table Name, Column Name, Column Type, Key, Indexed
Table Name, Column Name, Column Type, Key, Indexed
Table Name, Column Name, Column Type, Key, Indexed
Table Name, Column Name, Column Type, Key, Indexed
Table Name, Column Name, Column Type, Key, Indexed
Table Name, Column Name, Column Type, Key, Indexed
Table Name, Column Name, Column Type, Key, Indexed
Table Name, Column Name, Column Type, Key, Indexed
Table Name, Column Name, Column Type, Key, Indexed
Table Name, Column Name, Column Type, Key, Indexed
